district,regime,step,op,dGFA_%,dFootprint_%,dCount
lujiazui,developer_led,0,freeze,0.0,0.0,0
lujiazui,developer_led,1,split_to_towers,0.0,0.0,270
lujiazui,developer_led,2,slim,0.0,-47.38,0
lujiazui,developer_led,3,densify,28.02,0.0,0
lujiazui,developer_led,TOTAL,-,28.02,-47.38,270
lujiazui,state_led,0,weight_height,0.0,0.0,0
lujiazui,state_led,1,concentrate,-4.58,0.0,0
lujiazui,state_led,TOTAL,-,-4.58,0.0,0
lujiazui,resident_self_build,0,freeze,0.0,0.0,0
lujiazui,resident_self_build,1,infill,-77.76,-26.72,9286
lujiazui,resident_self_build,2,level,-5.5,0.0,0
lujiazui,resident_self_build,TOTAL,-,-78.98,-26.72,9286
lujiazui,shared,0,open_ground,-25.75,-34.46,0
lujiazui,shared,1,level,-31.41,0.0,0
lujiazui,shared,TOTAL,-,-49.07,-34.46,0
caoyang,developer_led,0,freeze,0.0,0.0,0
caoyang,developer_led,1,split_to_towers,0.0,-0.0,68
caoyang,developer_led,2,slim,-0.0,-49.13,0
caoyang,developer_led,3,densify,64.53,0.0,0
caoyang,developer_led,TOTAL,-,64.53,-49.13,68
caoyang,state_led,0,weight_height,-0.0,0.0,0
caoyang,state_led,1,concentrate,0.18,0.0,0
caoyang,state_led,TOTAL,-,0.18,0.0,0
caoyang,resident_self_build,0,freeze,0.0,0.0,0
caoyang,resident_self_build,1,infill,-64.92,-29.52,4395
caoyang,resident_self_build,2,level,-4.9,0.0,0
caoyang,resident_self_build,TOTAL,-,-66.64,-29.52,4395
caoyang,shared,0,open_ground,-3.59,-35.73,0
caoyang,shared,1,level,-12.15,0.0,0
caoyang,shared,TOTAL,-,-15.31,-35.73,0
laoximen,developer_led,0,freeze,0.0,0.0,0
laoximen,developer_led,1,split_to_towers,-0.0,-0.0,50
laoximen,developer_led,2,slim,-0.0,-48.24,0
laoximen,developer_led,3,densify,59.53,0.0,0
laoximen,developer_led,TOTAL,-,59.53,-48.24,50
laoximen,state_led,0,weight_height,-0.0,0.0,0
laoximen,state_led,1,concentrate,1.05,0.0,0
laoximen,state_led,TOTAL,-,1.05,0.0,0
laoximen,resident_self_build,0,freeze,0.0,0.0,0
laoximen,resident_self_build,1,infill,-58.92,-26.89,3251
laoximen,resident_self_build,2,level,-2.92,0.0,0
laoximen,resident_self_build,TOTAL,-,-60.12,-26.89,3251
laoximen,shared,0,open_ground,-4.85,-35.08,0
laoximen,shared,1,level,-29.54,0.0,0
laoximen,shared,TOTAL,-,-32.96,-35.08,0
dapuqiao,developer_led,0,freeze,0.0,0.0,0
dapuqiao,developer_led,1,split_to_towers,-0.0,-0.0,80
dapuqiao,developer_led,2,slim,-0.0,-47.09,0
dapuqiao,developer_led,3,densify,53.06,0.0,0
dapuqiao,developer_led,TOTAL,-,53.06,-47.09,80
dapuqiao,state_led,0,weight_height,-0.0,0.0,0
dapuqiao,state_led,1,concentrate,-3.65,0.0,0
dapuqiao,state_led,TOTAL,-,-3.65,0.0,0
dapuqiao,resident_self_build,0,freeze,0.0,0.0,0
dapuqiao,resident_self_build,1,infill,-64.56,-27.25,3817
dapuqiao,resident_self_build,2,level,-3.26,0.0,0
dapuqiao,resident_self_build,TOTAL,-,-65.71,-27.25,3817
dapuqiao,shared,0,open_ground,-7.83,-34.25,0
dapuqiao,shared,1,level,-38.35,0.0,0
dapuqiao,shared,TOTAL,-,-43.18,-34.25,0
yuyuan,developer_led,0,freeze,0.0,0.0,0
yuyuan,developer_led,1,split_to_towers,0.0,0.0,84
yuyuan,developer_led,2,slim,-0.0,-49.49,0
yuyuan,developer_led,3,densify,57.98,0.0,0
yuyuan,developer_led,TOTAL,-,57.98,-49.49,84
yuyuan,state_led,0,weight_height,0.0,0.0,0
yuyuan,state_led,1,concentrate,-10.08,0.0,0
yuyuan,state_led,TOTAL,-,-10.08,0.0,0
yuyuan,resident_self_build,0,freeze,0.0,0.0,0
yuyuan,resident_self_build,1,infill,-53.87,-27.09,3230
yuyuan,resident_self_build,2,level,-3.54,0.0,0
yuyuan,resident_self_build,TOTAL,-,-55.5,-27.09,3230
yuyuan,shared,0,open_ground,-6.57,-35.99,0
yuyuan,shared,1,level,-20.49,0.0,0
yuyuan,shared,TOTAL,-,-25.71,-35.99,0
